path,datetime,latitude,longitude,gps_source
x:\Photos\GooglePhotos\photos\2015\05\DSC_9572.jpg,2015-05-03T13:46:07+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9578.jpg,2015-05-03T13:55:15+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9581.jpg,2015-05-03T13:56:04+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9586.jpg,2015-05-03T13:57:57+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9588.jpg,2015-05-03T13:57:59+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\05\DSC_9658.jpg,2015-05-09T21:39:59+00:00,-23.54344166666667,-47.47694416666667,proxy
x:\Photos\GooglePhotos\photos\2015\05\IMG_1884.jpg,2015-05-03T12:39:35+00:00,-23.815694166666667,-47.727138611111116,proxy
x:\Photos\GooglePhotos\photos\2015\08\IMG_3647.jpg,2015-08-22T12:33:29+00:00,-22.716735555555555,-45.56532166666666,proxy
x:\Photos\GooglePhotos\photos\2015\08\IMG_7725.jpg,2015-08-02T13:45:46+00:00,-22.716735277777776,-45.56532138888888,proxy
x:\Photos\GooglePhotos\photos\2015\08\IMG_7726.jpg,2015-08-02T13:46:04+00:00,-22.716735277777776,-45.56532138888888,proxy
x:\Photos\GooglePhotos\photos\2015\08\IMG_7727.jpg,2015-08-02T13:46:50+00:00,-22.716735277777776,-45.56532138888888,proxy
x:\Photos\GooglePhotos\photos\2015\08\IMG_7728.jpg,2015-08-02T13:47:01+00:00,-22.716735277777776,-45.56532138888888,proxy
x:\Photos\GooglePhotos\photos\2015\08\IMG_7729.jpg,2015-08-02T13:47:13+00:00,-22.716735277777776,-45.56532138888888,proxy
